#Query ID	Target ID
motif_Train1_8	motif_Train6_9
motif_Train1_8	motif_Train5_7
motif_Train1_8	motif_Train9_11
motif_Train1_8	motif_10_10
motif_Train1_8	motif_Train5_13
motif_Train1_8	motif_Train9_8
motif_Train1_8	motif_Train2_6
motif_Train1_8	motif_Train4_15
motif_Train1_8	motif_Train6_10
motif_Train1_8	motif_Train4_7
motif_Train1_8	motif_Train3_14
motif_Train1_8	motif_Train3_6
motif_Train1_8	motif_Train3_9
motif_Train1_8	motif_10_8
motif_Train1_8	motif_Train5_8
motif_Train1_8	motif_Train8_7
motif_Train1_9	motif_Train1_9
motif_Train1_9	motif_Train5_9
motif_Train1_9	motif_Train8_5
motif_Train1_9	motif_Train9_13
motif_Train1_9	motif_Train2_9
motif_Train1_9	motif_Train3_8
motif_Train1_9	motif_Train5_3
motif_Train1_9	motif_Train9_3
motif_Train1_9	motif_Train7_3
motif_Train1_9	motif_Train9_11
motif_Train1_9	motif_Train4_3
motif_Train1_9	motif_Train6_9
motif_Train1_9	motif_Train2_3
motif_Train1_9	motif_10_10
motif_Train1_9	motif_Train8_13
motif_Train1_9	motif_Train1_3
motif_Train1_9	motif_Train6_3
motif_Train1_9	motif_Train8_3
motif_Train1_9	motif_Train3_3
motif_Train1_9	motif_10_3
motif_Train1_9	motif_Train4_14
motif_Train1_9	motif_Train4_6
motif_Train1_9	motif_Train5_14
motif_Train9_2	motif_Train9_2
motif_Train9_2	motif_Train2_2
motif_Train9_2	motif_10_2
motif_Train9_2	motif_Train5_2
motif_Train9_2	motif_Train8_1
motif_Train9_2	motif_Train3_2
motif_Train9_2	motif_Train4_2
motif_Train9_2	motif_Train7_2
motif_Train9_2	motif_Train6_2
motif_Train9_2	motif_Train1_2
motif_Train9_2	motif_10_9
motif_Train9_2	motif_Train9_7
motif_Train9_2	motif_Train1_12
motif_Train9_2	motif_Train6_8
motif_Train9_2	motif_Train8_8
motif_Train9_2	motif_Train2_8
motif_Train9_2	motif_Train5_6
motif_Train9_2	motif_Train3_5
motif_Train9_2	motif_Train5_9
motif_Train9_2	motif_Train5_12
motif_Train9_2	motif_Train4_15
motif_Train9_2	motif_Train5_13
motif_Train9_2	motif_Train2_9
motif_Train9_2	motif_Train4_10
motif_Train9_2	motif_Train6_10
motif_Train9_2	motif_Train6_13
motif_Train9_2	motif_Train9_13
motif_Train9_2	motif_Train1_7
motif_Train9_2	motif_Train4_14
motif_Train9_3	motif_Train9_3
motif_Train9_3	motif_10_3
motif_Train9_3	motif_Train6_3
motif_Train9_3	motif_Train4_3
motif_Train9_3	motif_Train5_3
motif_Train9_3	motif_Train7_3
motif_Train9_3	motif_Train8_3
motif_Train9_3	motif_Train1_3
motif_Train9_3	motif_Train2_3
motif_Train9_3	motif_Train3_3
motif_Train9_3	motif_Train1_9
motif_Train9_3	motif_Train4_6
motif_Train9_3	motif_Train8_5
motif_Train9_3	motif_Train8_13
motif_Train9_4	motif_Train9_4
motif_Train9_4	motif_Train8_11
motif_Train9_4	motif_Train2_4
motif_Train9_4	motif_Train7_7
motif_Train9_4	motif_10_4
motif_Train9_4	motif_Train4_4
motif_Train9_4	motif_Train3_5
motif_Train9_4	motif_Train4_9
motif_Train9_4	motif_Train8_14
motif_Train9_4	motif_Train1_2
motif_Train9_4	motif_Train6_2
motif_Train9_4	motif_Train3_2
motif_Train9_4	motif_Train3_10
motif_Train9_4	motif_Train5_2
motif_Train9_4	motif_Train5_6
motif_Train9_4	motif_10_2
motif_Train9_5	motif_Train9_5
motif_Train9_5	motif_Train8_4
motif_Train9_5	motif_Train3_4
motif_Train9_5	motif_Train7_4
motif_Train9_5	motif_Train5_4
